alcohol,time,state,intervention,season
3642.761202,1,NT,0,1
3370.511308,2,NT,0,1
3692.850463,3,NT,0,1
3639.253663,4,NT,0,2
3784.885484,5,NT,0,2
3936.460088,6,NT,0,2
3726.894429,7,NT,0,3
3784.077658,8,NT,0,3
3833.378501,9,NT,0,3
3809.721255,10,NT,0,4
3567.98978,11,NT,0,4
3032.854286,12,NT,0,4
2713.076696,13,NT,0,1
2830.69745,14,NT,0,1
2786.391647,15,NT,0,1
3002.978467,16,NT,0,2
3372.446066,17,NT,0,2
3253.213383,18,NT,0,2
3532.743183,19,NT,0,3
3592.034327,20,NT,0,3
3399.172054,21,NT,0,3
3443.40748,22,NT,0,4
3563.68719,23,NT,0,4
3332.772571,24,NT,0,4
1624.15199,25,NT,1,1
1554.155281,26,NT,1,1
1298.226119,27,NT,1,1
1654.112333,28,NT,1,2
1344.627698,29,NT,1,2
1603.400213,30,NT,1,2
1749.907972,31,NT,1,3
1746.186158,32,NT,1,3
1860.339189,33,NT,1,3
1703.375148,34,NT,1,4
1503.842137,35,NT,1,4
1310.030908,36,NT,1,4
1466.408739,37,NT,1,1
1626.702565,38,NT,1,1
1761.675118,39,NT,1,1
1789.029319,40,NT,1,2
1895.167984,41,NT,1,2
1849.785215,42,NT,1,2
1976.40972,43,NT,1,3
2133.227643,44,NT,1,3
2078.392273,45,NT,1,3
2239.748487,46,NT,1,4
2266.930117,47,NT,1,4
2617.360542,48,NT,1,4
