alcohol,time,state,intervention,season
3642.761202,1,NT,0,1
3370.511308,2,NT,0,1
3692.850463,3,NT,0,1
3639.253663,4,NT,0,2
3784.885484,5,NT,0,2
3936.460088,6,NT,0,2
3726.894429,7,NT,0,3
3784.077658,8,NT,0,3
3833.378501,9,NT,0,3
3809.721255,10,NT,0,4
3567.98978,11,NT,0,4
3032.854286,12,NT,0,4
2713.076696,13,NT,0,1
2830.69745,14,NT,0,1
2786.391647,15,NT,0,1
3002.978467,16,NT,0,2
3372.446066,17,NT,0,2
3253.213383,18,NT,0,2
3532.743183,19,NT,0,3
3592.034327,20,NT,0,3
3399.172054,21,NT,0,3
3443.40748,22,NT,0,4
3563.68719,23,NT,0,4
3332.772571,24,NT,0,4
1624.15199,25,NT,1,1
1554.155281,26,NT,1,1
1298.226119,27,NT,1,1
1654.112333,28,NT,1,2
1344.627698,29,NT,1,2
1603.400213,30,NT,1,2
1749.907972,31,NT,1,3
1746.186158,32,NT,1,3
1860.339189,33,NT,1,3
1703.375148,34,NT,1,4
1503.842137,35,NT,1,4
1310.030908,36,NT,1,4
1466.408739,37,NT,1,1
1626.702565,38,NT,1,1
1761.675118,39,NT,1,1
1789.029319,40,NT,1,2
1895.167984,41,NT,1,2
1849.785215,42,NT,1,2
1976.40972,43,NT,1,3
2133.227643,44,NT,1,3
2078.392273,45,NT,1,3
2239.748487,46,NT,1,4
2266.930117,47,NT,1,4
2617.360542,48,NT,1,4
1797.472845,1,WA,0,1
1226.927417,2,WA,0,1
1168.854688,3,WA,0,1
1387.775179,4,WA,0,2
1711.576446,5,WA,0,2
2088.702835,6,WA,0,2
2135.04621,7,WA,0,3
2089.674549,8,WA,0,3
1636.815413,9,WA,0,3
1603.443542,10,WA,0,4
968.7019992,11,WA,0,4
854.5605061,12,WA,0,4
1212.892143,13,WA,0,1
1079.441694,14,WA,0,1
1569.851052,15,WA,0,1
1442.2839,16,WA,0,2
1226.208417,17,WA,0,2
1440.054235,18,WA,0,2
1292.173439,19,WA,0,3
1642.969161,20,WA,0,3
1653.206036,21,WA,0,3
1709.883729,22,WA,0,4
1982.28113,23,WA,0,4
1833.96403,24,WA,0,4
1714.995563,25,WA,1,1
1631.157815,26,WA,1,1
1196.383285,27,WA,1,1
1391.54883,28,WA,1,2
1314.858447,29,WA,1,2
1543.332319,30,WA,1,2
1856.787861,31,WA,1,3
1835.095829,32,WA,1,3
2324.457217,33,WA,1,3
2292.740644,34,WA,1,4
2103.746349,35,WA,1,4
1554.524662,36,WA,1,4
1217.210036,37,WA,1,1
1127.687872,38,WA,1,1
888.0776305,39,WA,1,1
1202.94581,40,WA,1,2
1292.422678,41,WA,1,2
1226.780483,42,WA,1,2
1611.877602,43,WA,1,3
1779.089772,44,WA,1,3
1734.028841,45,WA,1,3
1760.901498,46,WA,1,4
1852.182835,47,WA,1,4
1506.441854,48,WA,1,4
